country,Region,PPP,labels
Aruba,Latin America & Caribbean,0.703977175,
Afghanistan,South Asia,0.295806755,Afghanistan
Angola,Sub-Saharan Africa,0.652737263,Angola
Albania,Europe & Central Asia,0.377504304,
United Arab Emirates,Middle East & North Africa,0.550889192,United Arab Emirates
Argentina,Latin America & Caribbean,0.692846348,Argentina
Armenia,Europe & Central Asia,0.408064679,
Antigua and Barbuda,Latin America & Caribbean,0.636678009,
Australia,East Asia & Pacific,1.110191568,Australia
Austria,Europe & Central Asia,0.902536993,
Azerbaijan,Europe & Central Asia,0.237474392,Azerbaijan
Burundi,Sub-Saharan Africa,0.415189638,
Belgium,Europe & Central Asia,0.905594248,
Benin,Sub-Saharan Africa,0.366157294,
Burkina Faso,Sub-Saharan Africa,0.358712654,
Bangladesh,South Asia,0.39198322,Bangladesh
Bulgaria,Europe & Central Asia,0.395074165,Bulgaria
Bahrain,Middle East & North Africa,0.497718839,
"Bahamas, The",Latin America & Caribbean,1.010905064,"Bahamas, The"
Bosnia and Herzegovina,Europe & Central Asia,0.402349234,
Belarus,Europe & Central Asia,0.303801451,
Belize,Latin America & Caribbean,0.571070863,
Bermuda,North America,1.635288221,Bermuda
Bolivia,Latin America & Caribbean,0.448957369,
Brazil,Latin America & Caribbean,0.634312771,
Barbados,Latin America & Caribbean,0.90070696,Barbados
Brunei Darussalam,East Asia & Pacific,0.358853068,
Bhutan,South Asia,0.325311524,Bhutan
Botswana,Sub-Saharan Africa,0.43768056,
Central African Republic,Sub-Saharan Africa,0.576367418,Central African Republic
Canada,North America,0.964184165,Canada
Switzerland,Europe & Central Asia,1.239175715,Switzerland
Chile,Latin America & Caribbean,0.622953857,
China,East Asia & Pacific,0.52520555,
Cote d'Ivoire,Sub-Saharan Africa,0.420511539,
Cameroon,Sub-Saharan Africa,0.39161467,
"Congo, Dem. Rep.",Sub-Saharan Africa,0.51605134,
"Congo, Rep.",Sub-Saharan Africa,0.309389928,
Colombia,Latin America & Caribbean,0.433039182,
Comoros,Sub-Saharan Africa,0.51363408,
Cabo Verde,Sub-Saharan Africa,0.469839669,
Costa Rica,Latin America & Caribbean,0.682383227,
Cyprus,Europe & Central Asia,0.73133429,
Czech Republic,Europe & Central Asia,0.560684809,
Germany,Europe & Central Asia,0.878176994,
Djibouti,Middle East & North Africa,0.52893618,
Dominica,Latin America & Caribbean,0.716539458,
Denmark,Europe & Central Asia,1.096241525,
Dominican Republic,Latin America & Caribbean,0.439951615,
Algeria,Middle East & North Africa,0.269937082,Algeria
Ecuador,Latin America & Caribbean,0.533590298,
"Egypt, Arab Rep.",Middle East & North Africa,0.208306281,"Egypt, Arab Rep."
Eritrea,Sub-Saharan Africa,0.385826797,Eritrea
Spain,Europe & Central Asia,0.741010718,Spain
Estonia,Europe & Central Asia,0.620774849,
Ethiopia,Sub-Saharan Africa,0.404149217,
Finland,Europe & Central Asia,1.018666472,
Fiji,East Asia & Pacific,0.584994385,
France,Europe & Central Asia,0.897930263,
